idpozo,fecha_data,anio,mes,areayacimiento,prod_pet,prod_gas,prod_agua,tipo_de_recurso
123748,2021-01-31,2021,1,BARRANCAS,0.0,0.0,0.0,CONVENCIONAL
123756,2021-01-31,2021,1,BARRANCAS,0.0,0.0,0.0,CONVENCIONAL
123753,2021-01-31,2021,1,BARRANCAS,0.0,0.0,0.0,CONVENCIONAL
123754,2021-01-31,2021,1,BARRANCAS,0.0,0.0,0.0,CONVENCIONAL
123791,2021-01-31,2021,1,BARRANCAS,0.0,0.0,0.0,CONVENCIONAL
123775,2021-01-31,2021,1,BARRANCAS,0.0,0.0,0.0,CONVENCIONAL
123771,2021-01-31,2021,1,BARRANCAS,0.0,0.0,0.0,CONVENCIONAL
123772,2021-01-31,2021,1,BARRANCAS,0.0,0.0,0.0,CONVENCIONAL
123783,2021-01-31,2021,1,BARRANCAS,174.17,5.0,983.65,CONVENCIONAL
123776,2021-01-31,2021,1,BARRANCAS,135.34,5.7,526.61,CONVENCIONAL
123778,2021-01-31,2021,1,BARRANCAS,204.98,5.89,6955.83,CONVENCIONAL
123924,2021-01-31,2021,1,VACAS MUERTAS,0.0,0.0,0.0,CONVENCIONAL
123866,2021-01-31,2021,1,VACAS MUERTAS,0.0,0.0,0.0,CONVENCIONAL
123801,2021-01-31,2021,1,BARRANCAS,0.0,0.0,0.0,CONVENCIONAL
123799,2021-01-31,2021,1,BARRANCAS,0.0,0.0,0.0,CONVENCIONAL
123800,2021-01-31,2021,1,BARRANCAS,0.0,0.0,0.0,CONVENCIONAL
123812,2021-01-31,2021,1,BARRANCAS,0.0,0.0,0.0,CONVENCIONAL
123806,2021-01-31,2021,1,BARRANCAS,309.47,8.57,896.68,CONVENCIONAL
123810,2021-01-31,2021,1,BARRANCAS,248.2,6.93,9716.87,CONVENCIONAL
123863,2021-01-31,2021,1,VACAS MUERTAS,0.0,0.0,0.0,CONVENCIONAL
123847,2021-01-31,2021,1,VACAS MUERTAS,49.65,2.13,334.03,CONVENCIONAL
123840,2021-01-31,2021,1,VACAS MUERTAS,0.0,0.0,0.0,CONVENCIONAL
123846,2021-01-31,2021,1,VACAS MUERTAS,0.0,0.0,0.0,CONVENCIONAL
123853,2021-01-31,2021,1,VACAS MUERTAS,141.42,7.86,2500.98,CONVENCIONAL
123848,2021-01-31,2021,1,VACAS MUERTAS,40.62,1.74,779.4,CONVENCIONAL
123851,2021-01-31,2021,1,VACAS MUERTAS,0.0,0.0,0.0,CONVENCIONAL
123923,2021-01-31,2021,1,VACAS MUERTAS,0.0,0.0,0.0,CONVENCIONAL
123877,2021-01-31,2021,1,VACAS MUERTAS,173.03,9.62,6777.14,CONVENCIONAL
123871,2021-01-31,2021,1,VACAS MUERTAS,94.01,4.25,8317.06,CONVENCIONAL
123867,2021-01-31,2021,1,VACAS MUERTAS,0.0,0.0,0.0,CONVENCIONAL
123869,2021-01-31,2021,1,VACAS MUERTAS,0.0,0.0,0.0,CONVENCIONAL
123875,2021-01-31,2021,1,VACAS MUERTAS,116.32,6.47,2764.64,CONVENCIONAL
123872,2021-01-31,2021,1,VACAS MUERTAS,8.07,0.45,230.68,CONVENCIONAL
123873,2021-01-31,2021,1,VACAS MUERTAS,72.67,4.04,2076.13,CONVENCIONAL
123919,2021-01-31,2021,1,VACAS MUERTAS,0.0,0.0,0.0,CONVENCIONAL
123889,2021-01-31,2021,1,VACAS MUERTAS,0.0,0.0,0.0,CONVENCIONAL
123884,2021-01-31,2021,1,VACAS MUERTAS,229.74,10.52,17516.64,CONVENCIONAL
123888,2021-01-31,2021,1,VACAS MUERTAS,0.0,0.0,0.0,CONVENCIONAL
123910,2021-01-31,2021,1,VACAS MUERTAS,0.0,0.0,0.0,CONVENCIONAL
123900,2021-01-31,2021,1,VACAS MUERTAS,23.91,1.07,2631.17,CONVENCIONAL
123906,2021-01-31,2021,1,VACAS MUERTAS,0.0,0.0,0.0,CONVENCIONAL
124264,2021-01-31,2021,1,PUNTA DE LAS BARDAS,0.0,0.0,0.0,CONVENCIONAL
124094,2021-01-31,2021,1,VACAS MUERTAS,56.79,3.15,7483.41,CONVENCIONAL
124024,2021-01-31,2021,1,VACAS MUERTAS,0.0,0.0,0.0,CONVENCIONAL
123992,2021-01-31,2021,1,VACAS MUERTAS,63.52,3.53,4408.65,CONVENCIONAL
123945,2021-01-31,2021,1,VACAS MUERTAS,0.0,0.0,0.0,CONVENCIONAL
123936,2021-01-31,2021,1,VACAS MUERTAS,0.0,0.0,0.0,CONVENCIONAL
123938,2021-01-31,2021,1,VACAS MUERTAS,0.0,0.0,0.0,CONVENCIONAL
123965,2021-01-31,2021,1,VACAS MUERTAS,208.95,8.91,11194.16,CONVENCIONAL
123956,2021-01-31,2021,1,VACAS MUERTAS,0.0,0.0,0.0,CONVENCIONAL
